dt,stn,swdown,tair,rainf,rh,wind,saturated_vapor_pressure_hPa,vpd,co2,air_temp_C_2100,air_humidity_%_2100,saturated_vapor_pressure_hPa_2100,VPD_kPa_2100,CO2_mean_ppm_2100,psurf
2018-04-28 02:00:00,RUE,0.0,285.34999999999997,0.0,58.5,1.1,14.21591039,0.591591039,409.92,289.25,58.611,18.3046,0.7576,863.92,101325.0
2018-04-28 02:30:00,,0.0,285.34999999999997,0.0,59.35,1.05,14.21591039,0.581591039,409.92,289.25,59.461,18.3046,0.7420500000000001,863.92,101325.0
2018-04-28 03:00:00,RUE,0.0,285.34999999999997,0.0,60.2,1.0,14.21591039,0.571591039,409.92,289.25,60.311,18.3046,0.7265,863.92,101325.0
2018-04-28 03:30:00,,0.0,285.25,0.0,60.8,0.85,14.12286425,0.557286425,409.92,289.15,60.911,18.18845,0.71105,863.92,101325.0
2018-04-28 04:00:00,RUE,0.0,285.15,0.0,61.4,0.7,14.02981811,0.542981811,409.92,289.04999999999995,61.511,18.0723,0.6956,863.92,101325.0
2018-04-28 04:30:00,,4.0,284.95,0.0,63.150000000000006,0.9,13.84692988,0.509692988,409.92,288.84999999999997,63.261,17.8438,0.65595,863.92,101325.0
2018-04-28 05:00:00,RUE,8.0,284.75,0.0,64.9,1.1,13.66404165,0.476404165,409.92,288.65,65.011,17.6153,0.6163,863.92,101325.0
2018-04-28 05:30:00,,57.0,284.4,0.0,68.4,2.05,13.35404928,0.4204049279999999,409.92,288.29999999999995,68.511,17.22765,0.5438,863.92,101325.0
2018-04-28 06:00:00,RUE,106.0,284.04999999999995,0.0,71.9,3.0,13.04405691,0.364405691,409.92,287.95,72.011,16.84,0.4713,863.92,101325.0
2018-04-28 06:30:00,,181.0,283.9,0.0,73.80000000000001,2.7,12.915033435,0.3415033435,409.92,287.79999999999995,73.911,16.6785,0.4354,863.92,101325.0
2018-04-28 07:00:00,RUE,256.0,283.75,0.0,75.7,2.4,12.78600996,0.318600996,409.92,287.65,75.811,16.517,0.3995,863.92,101325.0
2018-04-28 07:30:00,,347.5,284.2,0.0,74.95,2.25,13.179963605,0.3329963605,409.92,288.09999999999997,75.061,17.00985,0.42455,863.92,101325.0
2018-04-28 08:00:00,RUE,439.0,284.65,0.0,74.2,2.1,13.57391725,0.347391725,409.92,288.54999999999995,74.311,17.5027,0.4496,863.92,101325.0
2018-04-28 08:30:00,,460.5,284.95,0.0,72.9,2.05,13.848256145,0.3748256144999999,409.92,288.84999999999997,73.011,17.845399999999998,0.48205,863.92,101325.0
2018-04-28 09:00:00,RUE,482.0,285.25,0.0,71.6,2.0,14.12259504,0.402259504,409.92,289.15,71.711,18.1881,0.5145,863.92,101325.0
2018-04-28 09:30:00,,563.0,285.75,0.0,70.4,1.55,14.60150713,0.4351507129999999,409.92,289.65,70.511,18.785449999999997,0.55465,863.92,101325.0
2018-04-28 10:00:00,RUE,644.0,286.25,0.0,69.2,1.1,15.08041922,0.468041922,409.92,290.15,69.311,19.3828,0.5948,863.92,101325.0
2018-04-28 10:30:00,,698.0,287.1,0.0,67.55000000000001,1.65,15.960221065,0.5210221065,409.92,291.0,67.661,20.477449999999997,0.6639999999999999,863.92,101325.0
2018-04-28 11:00:00,RUE,752.0,287.95,0.0,65.9,2.2,16.84002291,0.574002291,409.92,291.84999999999997,66.011,21.5721,0.7332,863.92,101325.0
2018-04-28 11:30:00,,825.5,288.75,0.0,62.35,1.8,17.749026864999998,0.6749026865000001,409.92,292.65,62.461,22.69965,0.8561,863.92,101325.0
2018-04-28 12:00:00,RUE,899.0,289.54999999999995,0.0,58.8,1.4,18.65803082,0.775803082,409.92,293.45,58.911,23.8272,0.979,863.92,101325.0
2018-04-28 12:30:00,,839.0,290.19999999999993,0.0,55.349999999999994,1.5499999999999998,19.458782265,0.8758782265,409.92,294.1,55.461,24.817950000000003,1.10875,863.92,101325.0
2018-04-28 13:00:00,RUE,779.0,290.84999999999997,0.0,51.9,1.7,20.25953371,0.975953371,409.92,294.75,52.011,25.8087,1.2385,863.92,101325.0
2018-04-28 13:30:00,,766.5,291.44999999999993,0.0,50.55,2.0,21.051458305,1.0401458305,409.92,295.35,50.661,26.7863,1.3229,863.92,101325.0
2018-04-28 14:00:00,RUE,754.0,292.04999999999995,0.0,49.2,2.3,21.8433829,1.10433829,409.92,295.95,49.311,27.7639,1.4073,863.92,101325.0
2018-04-28 14:30:00,,665.5,292.34999999999997,0.0,48.900000000000006,2.2,22.25927656,1.135927656,409.92,296.25,49.011,28.2765,1.4419499999999998,863.92,101325.0
2018-04-28 15:00:00,RUE,577.0,292.65,0.0,48.6,2.1,22.67517022,1.167517022,409.92,296.54999999999995,48.711,28.7891,1.4766,863.92,101325.0
2018-04-28 15:30:00,,427.5,291.9,0.0,52.25,2.5,21.66046499,1.041046499,409.92,295.79999999999995,52.361,27.53745,1.31645,863.92,101325.0
2018-04-28 16:00:00,RUE,278.0,291.15,0.0,55.9,2.9,20.64575976,0.914575976,409.92,295.04999999999995,56.011,26.2858,1.1563,863.92,101325.0
2018-04-28 16:30:00,,226.0,290.45,0.0,59.25,2.9,19.77135549,0.812135549,409.92,294.34999999999997,59.361,25.20445,1.0279,863.92,101325.0
2018-04-28 17:00:00,RUE,174.0,289.75,0.0,62.6,2.9,18.89695122,0.709695122,409.92,293.65,62.711,24.1231,0.8995,863.92,101325.0
2018-04-28 17:30:00,,117.5,289.04999999999995,0.0,65.05,2.75,18.088129865,0.6338129865,409.92,292.95,65.161,23.12035,0.80795,863.92,101325.0
2018-04-28 18:00:00,RUE,61.0,288.34999999999997,0.0,67.5,2.6,17.27930851,0.557930851,409.92,292.25,67.611,22.1176,0.7164,863.92,101325.0
2018-04-28 18:30:00,,34.5,287.9,0.0,69.1,2.5,16.792009094999997,0.5192009095,409.92,291.79999999999995,69.21100000000001,21.5122,0.6633,863.92,101325.0
2018-04-28 19:00:00,RUE,8.0,287.45,0.0,70.7,2.4,16.30470968,0.480470968,409.92,291.34999999999997,70.811,20.9068,0.6102,863.92,101325.0
2018-04-28 19:30:00,,4.5,287.25,0.0,69.75,2.2,16.09598793,0.489598793,409.92,291.15,69.861,20.6472,0.622,863.92,101325.0
2018-04-28 20:00:00,RUE,1.0,287.04999999999995,0.0,68.8,2.0,15.88726618,0.498726618,409.92,290.95,68.911,20.3876,0.6338,863.92,101325.0
2018-04-28 20:30:00,,1.0,286.65,0.0,67.65,2.25,15.4838427,0.50338427,409.92,290.54999999999995,67.761,19.8852,0.6405000000000001,863.92,101325.0
2018-04-28 21:00:00,RUE,1.0,286.25,0.0,66.5,2.5,15.08041922,0.508041922,409.92,290.15,66.611,19.3828,0.6472,863.92,101325.0
2018-04-28 21:30:00,,1.0,285.6,0.0,69.3,2.15,14.46314405,0.4463144049999999,409.92,289.5,69.411,18.61265,0.5715,863.92,101325.0
2018-04-28 22:00:00,RUE,1.0,284.95,0.0,72.1,1.8,13.84586888,0.384586888,409.92,288.84999999999997,72.211,17.8425,0.4958,863.92,101325.0
2018-04-28 22:30:00,,1.0,284.5,0.0,75.35,1.75,13.444962895,0.3294962895,409.92,288.4,75.461,17.341250000000002,0.42715,863.92,101325.0
2018-04-28 23:00:00,RUE,1.0,284.04999999999995,0.0,78.6,1.7,13.04405691,0.274405691,409.92,287.95,78.711,16.84,0.3585,863.92,101325.0
2018-04-28 23:30:00,,1.0,283.69999999999993,0.0,80.19999999999999,1.65,12.74649481,0.249649481,409.92,287.6,80.311,16.467399999999998,0.3248,863.92,101325.0
2018-04-29 00:00:00,RUE,1.0,283.34999999999997,0.0,81.8,1.6,12.44893271,0.224893271,409.92,287.25,81.911,16.0948,0.2911,863.92,101325.0
2018-04-29 00:30:00,,1.0,282.94999999999993,0.0,83.75,1.3,12.123534425,0.1973534425,409.92,286.85,83.861,15.68675,0.25395,863.92,101325.0
2018-04-29 01:00:00,RUE,1.0,282.54999999999995,0.0,85.7,1.0,11.79813614,0.169813614,409.92,286.45,85.811,15.2787,0.2168,863.92,101325.0
2018-04-29 01:30:00,,0.5,282.65,0.0,84.65,1.25,11.878050175,0.1828050175,409.92,286.54999999999995,84.761,15.37895,0.23445,863.92,101325.0
2018-04-29 02:00:00,RUE,0.0,282.75,0.0,83.6,1.5,11.95796421,0.195796421,409.92,286.65,83.711,15.4792,0.2521,863.92,101325.0
2018-04-29 02:30:00,,0.0,282.79999999999995,0.0,83.44999999999999,2.0,11.998277095,0.1998277095,409.92,286.7,83.561,15.5298,0.2552999999999999,863.92,101325.0
2018-04-29 03:00:00,RUE,0.0,282.84999999999997,0.0,83.3,2.5,12.03858998,0.203858998,409.92,286.75,83.411,15.5804,0.2585,863.92,101325.0
2018-04-29 03:30:00,,0.0,283.09999999999997,0.0,81.3,2.3,12.243761345,0.2343761345,409.92,287.0,81.411,15.837599999999998,0.29495,863.92,101325.0
2018-04-29 04:00:00,RUE,0.0,283.34999999999997,0.0,79.3,2.1,12.44893271,0.264893271,409.92,287.25,79.411,16.0948,0.3314,863.92,101325.0
2018-04-29 04:30:00,,6.5,283.54999999999995,0.0,77.4,2.9000000000000004,12.617471335,0.2867471335,409.92,287.45,77.511,16.3059,0.3671,863.92,101325.0
2018-04-29 05:00:00,RUE,13.0,283.75,0.0,75.5,3.7,12.78600996,0.308600996,409.92,287.65,75.611,16.517,0.4028,863.92,101325.0
2018-04-29 05:30:00,,71.0,284.04999999999995,0.0,74.75,4.25,13.046339865,0.3296339865,409.92,287.95,74.861,16.8428,0.4236499999999999,863.92,101325.0
2018-04-29 06:00:00,RUE,129.0,284.34999999999997,0.0,74.0,4.8,13.30666977,0.350666977,409.92,288.25,74.111,17.1686,0.4445,863.92,101325.0
2018-04-29 06:30:00,,215.0,285.0,0.0,71.65,5.55,13.90289165,0.400289165,409.92,288.9,71.761,17.9133,0.5076,863.92,101325.0
2018-04-29 07:00:00,RUE,301.0,285.65,0.0,69.3,6.3,14.49911353,0.449911353,409.92,289.54999999999995,69.411,18.658,0.5707,863.92,101325.0
